Best Fitness: -5.83

Class: C01, Subject: M02 (practice), Day: Mon, Slot: T1, Room: TH2, Lecturer: GV03
Class: C01, Subject: M01 (practice), Day: Thu, Slot: C2, Room: TH1, Lecturer: GV03
Class: C01, Subject: M02 (theory), Day: Fri, Slot: T1, Room: LT2, Lecturer: GV03
Class: C01, Subject: M01 (theory), Day: Sat, Slot: S2, Room: LT4, Lecturer: GV03
Class: C02, Subject: M03 (practice), Day: Mon, Slot: C2, Room: TH2, Lecturer: GV02
Class: C02, Subject: M04 (practice), Day: Wed, Slot: C1, Room: TH3, Lecturer: GV04
Class: C02, Subject: M03 (theory), Day: Thu, Slot: S1, Room: LT2, Lecturer: GV02
Class: C02, Subject: M04 (theory), Day: Fri, Slot: S1, Room: LT2, Lecturer: GV04
Class: C02, Subject: M03 (theory), Day: Sat, Slot: T2, Room: LT1, Lecturer: GV04
Class: C03, Subject: M06 (practice), Day: Mon, Slot: T1, Room: TH1, Lecturer: GV02
Class: C03, Subject: M06 (theory), Day: Tue, Slot: S2, Room: LT3, Lecturer: GV03
Class: C03, Subject: M05 (theory), Day: Wed, Slot: S1, Room: LT1, Lecturer: GV01
Class: C03, Subject: M05 (theory), Day: Sat, Slot: T1, Room: LT1, Lecturer: GV01
